JobNum,RunNum,ComputeNodeType,NumComputeNodes,ComputeNodeCost,BigMemNodeType,NumBigMemNodes,BigMemNodeCost,GPUNodeType,NumGPUNodes,GPUNodeCost,TotalMem,TotalCPUs,TotalGPUs,AvgQueueTime,AvgTurnaroundTime,AvgCPUsInUse,AvgCPUsInUsePercent,AvgGPUsInUse,AvgGPUsInUsePercent,AvgMemInUse,AvgMemInUsePercent,ElapsedSimulationSeconds,JobsTimedOut,JobsFailed,JobsCompleted,JobsTotal
8744683,1094,ComputeNode1,20,6960,BigMemNode1,43,11112,GPUNode10,7,54695,52736000000,1960,28,2953.56,5902.82,145.27871405397434,7.41217928846808,7.694239787641941,27.47942781300693,771.1227013616548,1.4622320641718272,508574,8906,87,15759,24752
8744683,3392,ComputeNode2,58,8178,BigMemNode1,20,11112,GPUNode9,6,50225,51712000000,2256,24,5249.66,8129.13,144.97437694586344,6.4261691908627405,7.392582670858145,30.80242779524227,740.8978544607577,1.4327387346471954,529327,8916,87,15749,24752
8744683,5095,ComputeNode2,38,8178,BigMemNode2,30,12450,GPUNode3,7,43950,57344000000,3280,7,22164.72,24670.07,104.39930609921002,3.1829056737564034,4.469693734728252,63.852767638975024,462.11043944796756,0.8058566536132248,843059,8852,106,15635,24593
8744683,1472,ComputeNode1,58,6960,BigMemNode2,45,12450,GPUNode4,2,14730,61440000000,4320,4,28723.29,29095.48,114.95606901880237,2.6610201161759806,3.9226381863728417,98.06595465932104,450.6884539118849,0.7335424054555418,833511,8522,99,14958,23579
8744683,2605,ComputeNode1,5,6960,BigMemNode2,4,12450,GPUNode11,14,65025,19712000000,1272,56,13437.47,16218.0,13.857823474468445,1.0894515310116701,5.048508115820518,9.01519306396521,108.64605531260874,0.5511670825517895,4758914,8944,51,15757,24752
8769386,88,ComputeNode3,21,8298,BigMemNode1,16,11112,GPUNode1,22,29150,27392000000,3136,22,18650.18,21290.88,32.05826087754689,1.0222659718605513,3.861429989215571,17.551954496434412,83.26202430611023,0.3039647499492926,6209878,8931,26,15795,24752
8744683,292,ComputeNode1,72,6960,BigMemNode1,17,11112,GPUNode8,13,23480,39168000000,2448,52,9556.36,12372.28,22.739931515763935,0.9289187710687883,4.9556120997755215,9.53002326879908,106.65578262473703,0.272303366586849,4848122,8947,8,15797,24752
8744683,168,ComputeNode1,26,6960,BigMemNode1,52,11112,GPUNode4,16,14730,64000000000,2256,32,16129.33,18819.33,12.556055688426932,0.5565627521465838,3.0727736469758464,9.60241764679952,66.26082822759588,0.10353254410561856,7803703,8959,15,15778,24752
8744683,858,ComputeNode1,95,6960,BigMemNode1,9,11112,GPUNode2,7,33620,37120000000,2944,7,19353.01,21996.35,100.64674245611351,3.4187072845147255,4.522605365816346,64.60864808309064,468.4384200661013,1.261956950609109,836703,8907,106,15739,24752
8744683,3321,ComputeNode2,35,8178,BigMemNode1,48,11112,GPUNode5,5,35350,68352000000,2312,10,15572.77,18233.75,179.83217021000988,7.778208054066171,9.40498280952304,94.0498280952304,1052.1419765216494,1.5392994740777877,370553,8907,99,15746,24752
8744683,419,ComputeNode1,101,6960,BigMemNode1,5,11112,GPUNode12,6,39360,32512000000,2688,48,490.93,3475.05,349.44863397265766,13.000321204339944,8.526889100980123,17.764352293708587,854.5426891650558,2.6283916374417315,458921,8906,87,15759,24752
8744683,1442,ComputeNode1,76,6960,BigMemNode2,34,12450,GPUNode4,3,14730,55040000000,4072,6,24759.34,26312.85,187.63050430213553,4.60782181488545,5.784437345508084,96.4072890918014,645.175291215595,1.1721934796794968,592263,8713,101,15337,24151
8744683,3703,ComputeNode2,58,8178,BigMemNode1,3,11112,GPUNode10,9,54695,37376000000,2040,36,15421.38,18112.05,17.728899133193522,0.8690636829996825,3.7932581051639724,10.536828069899922,81.64562764029787,0.21844399518487229,6333708,8968,8,15776,24752
8744683,2716,ComputeNode2,54,8178,BigMemNode1,46,11112,GPUNode4,3,14730,75520000000,2472,6,18819.0,21371.84,120.84999848294322,4.888753983937832,5.872466093781078,97.8744348963513,657.2076644127193,0.8702431996990457,593253,8905,102,15745,24752
8744683,2600,ComputeNode1,12,6960,BigMemNode2,47,12450,GPUNode11,5,65025,56320000000,3616,20,9748.52,12626.7,378.44308228615387,10.465793204816203,17.19230450891705,85.96152254458525,1898.3829672335535,3.370708393525486,205392,8919,92,15741,24752
8744683,4170,ComputeNode2,27,8178,BigMemNode2,3,12450,GPUNode4,50,14730,29696000000,2040,100,10567.07,13375.5,23.001273151852427,1.1275133897966876,7.040867117418015,7.040867117418015,151.82644897644386,0.5112690226846843,3405720,8942,15,15795,24752
8744683,1124,ComputeNode1,61,6960,BigMemNode1,11,11112,GPUNode14,5,89670,29440000000,2048,40,305.94,3285.0,806.732536030202,39.39123711084971,24.32667612775221,60.81669031938053,2685.814624280125,9.123011631386294,145155,8897,90,15765,24752
8769386,105,ComputeNode3,51,8298,BigMemNode1,9,11112,GPUNode2,14,33620,29440000000,4376,14,21682.01,23579.17,66.56653870737216,1.521173188011247,0.7949356719674062,5.67811194262433,97.54672924922001,0.3313407922867528,5300643,8952,27,15773,24752
8744683,783,ComputeNode1,24,6960,BigMemNode1,25,11112,GPUNode9,11,50225,34560000000,1880,44,10760.46,13541.33,18.818884467812193,1.0010044929687336,4.479894729520915,10.181578930729351,96.41609764957641,0.27898176403233915,5362946,8945,19,15788,24752
8744683,4066,ComputeNode2,75,8178,BigMemNode2,7,12450,GPUNode4,20,14730,50688000000,2728,40,13693.55,16481.31,16.497316223722354,0.6047403307816112,3.888842344259969,9.722105860649922,83.86173075496961,0.1654469120008081,6166124,8960,15,15777,24752
8744683,3661,ComputeNode2,17,8178,BigMemNode1,41,11112,GPUNode6,10,39820,55808000000,2032,20,21772.0,22666.19,13.271069002744916,0.6531037895051631,2.136162557191908,10.68081278595954,45.45759686864442,0.08145354943492765,10803975,8415,18,14869,23302
8744683,2872,ComputeNode2,5,8178,BigMemNode1,14,11112,GPUNode4,54,14730,30720000000,1752,108,5979.99,8875.41,27.266198393881453,1.5562898626644666,7.3358690630975145,6.792471354719922,158.17771497621567,0.514901415938202,3268749,8934,15,15803,24752
8744683,4624,ComputeNode2,54,8178,BigMemNode2,5,12450,GPUNode5,14,35350,36352000000,2512,28,15121.1,17776.42,14.203832867411124,0.56543920650522,3.0503269766414727,10.894024916576688,65.77765400658403,0.1809464513825485,7861111,8964,18,15770,24752
8744683,2998,ComputeNode2,22,8178,BigMemNode1,29,11112,GPUNode8,21,23480,46336000000,1728,84,2922.29,5891.86,13.889095333167297,0.8037670910397742,6.525283418782434,7.768194546169564,140.4403905497393,0.3030913124778559,3681918,8957,4,15791,24752
8744683,4285,ComputeNode2,69,8178,BigMemNode2,27,12450,GPUNode8,4,23480,64000000000,3480,16,18906.16,21435.38,365.8421137321791,10.512704417591353,14.205841888456217,88.78651180285135,1568.6015768613554,2.450939963845868,248583,8916,90,15746,24752
8744683,3224,ComputeNode2,24,8178,BigMemNode1,22,11112,GPUNode1,19,29150,39680000000,2320,19,22292.24,24840.8,14.332750229361302,0.617790958162125,2.1732258057475287,11.438030556565941,47.00304251955562,0.11845524828517041,10995751,8938,27,15787,24752
8744683,4377,ComputeNode2,10,8178,BigMemNode2,34,12450,GPUNode8,21,23480,45312000000,2920,84,7314.31,10214.3,22.004881050449175,0.7535918167962046,6.461522697328345,7.692288925390886,139.0758798515015,0.30692946648018515,3718256,8968,6,15778,24752
8744683,768,ComputeNode1,43,6960,BigMemNode1,40,11112,GPUNode9,5,50225,53248000000,2312,20,3121.42,6072.7,314.1923181398381,13.58963313753625,17.440054919818053,87.20027459909026,1925.5619261842344,3.616214554883253,202476,8917,90,15745,24752
