,JobNum,RunNum,ComputeNodeType,NumComputeNodes,ComputeNodeCost,BigMemNodeType,NumBigMemNodes,BigMemNodeCost,GPUNodeType,NumGPUNodes,GPUNodeCost,TotalMem,TotalCPUs,TotalGPUs,AvgQueueTime,AvgTurnaroundTime,AvgCPUsInUse,AvgCPUsInUsePercent,AvgGPUsInUse,AvgGPUsInUsePercent,AvgMemInUse,AvgMemInUsePercent,ElapsedSimulationSeconds,JobsTimedOut,JobsFailed,JobsCompleted,JobsTotal
8216,8744683,3543,ComputeNode2,33,8178,BigMemNode1,11,11112,GPUNode2,18,33620,37376000000,2208,18,25170.39,27431.52,13.293822085402287,0.6020752756069876,2.124029963174423,11.800166462080126,45.639523216354675,0.12210916956430512,11243000,8840,35,15529,24404
7420,8769386,378,ComputeNode1,28,6960,BigMemNode2,15,12450,GPUNode1,21,29150,27904000000,2976,21,25521.43,27860.05,14.024365594045562,0.4712488438859396,2.116382876414321,10.078013697211052,45.56163865223018,0.1632799550323616,11013767,8624,26,15181,23831
9510,8744683,3341,ComputeNode2,20,8178,BigMemNode1,43,11112,GPUNode5,10,35350,56832000000,2152,20,18474.61,21119.31,10.398047880214074,0.483180663578721,2.1993113402587583,10.996556701293793,47.42649792339942,0.08345034122219774,10902916,8966,18,15768,24752
205,8744683,278,ComputeNode1,86,6960,BigMemNode1,23,11112,GPUNode8,6,23480,47104000000,2760,24,2403.3,5321.14,151.92142051334645,5.504399293961828,7.296670613573007,30.402794223220862,731.2793809942565,1.5524783054395732,536284,8913,87,15752,24752
7451,8744683,2849,ComputeNode2,11,8178,BigMemNode1,3,11112,GPUNode4,59,14730,23808000000,1752,118,8523.79,11391.23,29.458212620494557,1.6814048299369038,7.851473766240571,6.6537913273225175,169.29364602531885,0.7110788223509696,3054079,8940,15,15797,24752
5353,8800348,1065,ComputeNode2,41,8178,BigMemNode2,50,12450,GPUNode6,1,39820,72704000000,4248,2,24305.7,26673.13,52.61983468652164,1.2386966734115263,1.9728301360339653,98.64150680169828,215.6472334350866,0.2966098611288053,1705970,8417,100,14852,23369
1142,8744683,66,ComputeNode1,70,6960,BigMemNode1,9,11112,GPUNode4,28,14730,34304000000,2568,56,9668.57,12484.0,18.93570259294448,0.7373715962984609,5.089926921401663,9.089155216788685,109.75844241950752,0.31995814604567263,4711091,8953,15,15784,24752
572,8800348,948,ComputeNode2,42,8178,BigMemNode2,50,12450,GPUNode1,1,29150,72960000000,4272,1,30648.26,31229.4,36.750275959914454,0.8602592687245894,0.9998185646585338,99.98185646585337,108.15393830421073,0.1482373057897625,3086498,7569,103,13336,21008
8024,8744683,3951,ComputeNode2,76,8178,BigMemNode1,22,11112,GPUNode11,2,65025,63488000000,2480,8,19656.65,22248.49,157.10422298064998,6.33484770083266,7.639439734930216,95.49299668662769,843.8169000794327,1.3290966798126145,462066,8917,95,15740,24752
9618,8769386,108,ComputeNode3,19,8298,BigMemNode1,33,11112,GPUNode2,14,33620,45824000000,2904,14,12563.72,15253.15,38.980312005364716,1.3422972453637991,0.9251898115703876,6.6084986540741975,97.6147483614739,0.2130210116128533,5296831,8940,27,15785,24752
