,JobNum,RunNum,ComputeNodeType,NumComputeNodes,ComputeNodeCost,BigMemNodeType,NumBigMemNodes,BigMemNodeCost,GPUNodeType,NumGPUNodes,GPUNodeCost,TotalMem,TotalCPUs,TotalGPUs,AvgQueueTime,AvgTurnaroundTime,AvgCPUsInUse,AvgCPUsInUsePercent,AvgGPUsInUse,AvgGPUsInUsePercent,AvgMemInUse,AvgMemInUsePercent,ElapsedSimulationSeconds,JobsTimedOut,JobsFailed,JobsCompleted,JobsTotal
0,8832977,68,ComputeNode4,2,9516,BigMemNode2,51,12450,GPUNode13,4,85200,54272000000,3648,32,13680.65,16419.22,31.939399814176483,0.8755317931517675,3.857897459205303,12.055929560016573,83.18886331932374,0.15328136667033415,6215574,8959,26,15767,24752
1,8845633,20,ComputeNode3,31,8298,BigMemNode1,52,11112,GPUNode12,4,39360,62208000000,3328,32,21696.07,24327.24,31.87340412829027,0.9577344990471837,3.8404543098227,12.001419718195939,82.6573399717269,0.13287252438870706,6255906,8957,8,15787,24752
2,8832977,302,ComputeNode4,22,9516,BigMemNode1,6,11112,GPUNode6,18,39820,26624000000,2704,36,19966.99,22640.01,19.300374917297656,0.7137712617343808,3.710469977890443,10.306861049695677,79.86004396961724,0.2999550930349205,6475027,8958,8,15786,24752
3,8832977,14,ComputeNode3,43,8298,BigMemNode1,5,11112,GPUNode11,9,65025,25344000000,3448,36,26266.94,26920.6,18.190362710082717,0.5275627236102876,3.0130691721246725,8.369636589235203,63.53579004038997,0.2506936160053266,7656031,8332,14,14704,23050
4,8832977,408,ComputeNode2,1,8178,BigMemNode2,66,12450,GPUNode4,11,14730,70912000000,4512,22,1417.45,4389.69,1041.1542795484502,23.075227826871682,15.945748451467948,72.48067477939976,2662.6158097884077,3.754816970031035,146428,8906,90,15756,24752
5,8832977,226,ComputeNode4,21,9516,BigMemNode2,6,12450,GPUNode6,18,39820,26112000000,2880,36,13861.66,16568.84,20.653137234570693,0.7171228206448157,3.76723413079954,10.464539252220945,81.23432979775954,0.31109960860048846,6365159,8948,26,15778,24752
6,8843027,37,ComputeNode4,28,9516,,-1,-1,GPUNode1,25,29150,20736000000,3392,25,20567.69,23167.55,23.941460015285585,0.7058213447902589,3.847076403432516,15.388305613730063,82.80438035850243,0.3993266799696298,6245098,8952,8,15792,24752
7,8832977,131,ComputeNode3,34,8298,BigMemNode2,18,12450,GPUNode10,9,54695,31744000000,3904,36,20325.11,23044.92,18.963645239670836,0.4857491096227161,3.8527477024643297,10.702076951289804,83.55735825662329,0.26322252474994734,6118620,8906,15,15613,24534
8,8832977,13,ComputeNode3,87,8298,BigMemNode2,5,12450,GPUNode8,9,23480,29696000000,6104,36,18367.6,21015.72,45.249967125609395,0.741316630498188,3.0732846424945266,8.536901784707018,66.27091817410519,0.22316446044620553,7802425,8950,17,15785,24752
9,8832977,221,ComputeNode3,86,8298,BigMemNode1,13,11112,GPUNode8,6,23480,36864000000,5960,24,21620.38,24219.46,30.398001166597947,0.510033576620771,3.8606013662687686,16.08583902611987,83.24858093760065,0.22582622867187677,6211222,8947,15,15790,24752
10,8832977,136,ComputeNode1,75,6960,BigMemNode2,21,12450,GPUNode8,9,23480,43008000000,3360,36,26705.45,28620.87,23.849400404013988,0.7098035834527973,3.7411127118751044,10.391979755208624,80.49050076873317,0.1871523920403952,6178993,8577,8,15042,23627
11,8843027,30,ComputeNode2,6,8178,,-1,-1,GPUNode12,24,39360,9216000000,720,192,13031.68,15749.69,7.154701078953574,0.9937084831879963,3.033517291493563,1.5799569226528971,43.712898653513,0.4743153065702365,7904695,8944,15,15793,24752
12,8832977,305,ComputeNode1,19,6960,BigMemNode2,38,12450,GPUNode5,11,35350,46592000000,3592,22,20844.03,23461.23,25.3864395202761,0.7067494298517845,1.2018720856365601,5.4630549347116375,81.00899350018177,0.1738688905824643,6383254,8947,8,15797,24752
13,8832977,401,ComputeNode1,34,6960,BigMemNode2,17,12450,GPUNode7,11,50150,37376000000,2608,22,2747.63,5719.94,665.3619877140777,25.51234615468089,15.053645547311017,68.42566157868644,2489.71883477865,6.661276848187741,156601,8917,90,15745,24752
14,8845633,55,ComputeNode3,69,8298,BigMemNode2,15,12450,GPUNode8,10,23480,35584000000,5616,40,17643.52,20347.41,45.26715270503701,0.8060390438931092,3.076214673646359,7.690536684115898,66.33476535520595,0.18641739364659943,7794994,8966,26,15760,24752
15,8845633,84,ComputeNode2,78,8178,BigMemNode2,10,12450,GPUNode4,16,14730,54272000000,2896,32,18672.28,21334.76,19.529140240462365,0.6743487652093358,3.8192356219908623,11.935111318721445,82.1985765857993,0.15145669329635778,6290630,8948,10,15794,24752
16,8832977,377,ComputeNode3,35,8298,BigMemNode1,50,11112,GPUNode4,10,14730,62720000000,3680,20,15799.65,18532.16,26.80681216863,0.7284459828432065,1.1391515677749033,5.695757838874517,80.81449864209269,0.1288496470696631,6398813,8968,8,15776,24752
